body.mass,predictor
70.8,74.34
85.5,76.89
84.1,76.89
35,66.32
38.7,69.39
17.3,53.11
28,54.82
23.7,56.1
24.5,58.69
28,60.58
29.6,60.47
46.3,64.87
46.5,76.84
42,65.51
34.8,64.52
65,81.03
39.3,68.44
45,69.08
53.5,82.21
25.05,60.23
31.8,58.58
31.4,62.18
85.5,69.5
84.1,69.5
50,68.29
31,63.94
93.4,73.94
44,64.55
38,53.5
50,73.7
56,77.74
46,65.77
46.8,69.98
31.4,57.43
34.7,59.78
51.9,69.87
52,76.82
16,64.4
50,60.73
48.6,60.73
21,45.28
21.5,48.67
25,49.16
12.3,45.86
32.8,68.04
66.2,77.76
89,78.08
22,53.07
27.5,58.42
41.1,64.19
33.1,69.15
77.2,77.3
76,82.51
24.9,56.67
20.3,50.41
40.2,63.06
32.7,64.01
47.6,68.44
47.6,68.44
56,64.46
69.7,69.82
42.5,64.01
76.4,73.74
42,68.62
62,71.76
22,56.2
16.1,52.31
40,63.81
73.5,68.74
48.7,78.65
35.9,67.22
35.25,67.04
34.1,54.34
40.2,67.79
21.8,56.62
52.7,68.26
47,68.31
40.5,66.79
15.5,43.78
14.5,53.46
43,70.55
57,75.32
12.4,42.4
33.1,62.52
44.2,65.52
51.5,72.6
35,65.49
19,39.63
27,59.01
59,72.91
30,58.29
51.8,74.14
46,73.76
46,73.76
45,67.69
31.2,59.18
48.1,79.17
46.05,79.17
48.4,79.17
47.1,80.89
46,80.89
37.5,56.71
70.2,76.52
51.5,69.41
82,77.76
33,66.18
63.3,75.1
50,63.11
16.7,51.77
16.7,51.77
16.7,52.43
16.7,52.43
41,74.57
64.1,80.39
40,68.87
50.5,67.72
71.2,72.98
34.7,65.99
64.9,81.29
50,80.22
23,54.69
29,62.16
47.1,71.84
55,78.49
