body.mass,predictor
53.1,40.78
34.2,38.21
76,47.08
47.1,45.12
46,45.12
48.1,43.34
46.05,43.34
48.4,43.34
50,41.57
46,41.41
46,41.41
38,41.82
40.95,36.39
39.3,47.61
47,41.29
21,31.09
70.8,42.97
85.5,42.43
84.1,42.43
35,37.94
24.5,31.32
20,30.14
50,42.58
48,37.32
22,35.81
27,36.4
31.9,36.56
32,32.49
25,34.45
48,41.35
35,33.74
30.8,31.52
42.8,39.97
42.9,38.05
87.5,32.9
12.2,26.53
24.3,36.84
43,40.57
24,33.28
27.3,32.99
24,36.82
23,35.34
22,29.85
26.1,35.97
79.8,45.13
55.2,45.93
40.5,32.41
30,37.62
44,43.5
33,39.68
31.6,37.66
59.6,39.52
46.3,37.71
42,46.78
45,40.35
25.05,32.61
31.4,34.94
85.5,43.13
84.1,43.13
44,39.38
66.2,46.7
89,45.94
40.2,37.27
76.4,47.48
42,43.73
48.7,48.88
35.25,36.97
51.8,46.38
46,43.44
46,43.44
45,39.42
48.1,50.96
46.05,50.96
48.4,50.96
47.1,52.05
46,52.05
82,46.1
50.5,40.37
