body.mass,predictor
70.8,30208.110999999997
42,38829.416
47,31284.217
45,30155.802
25.05,9936.923
31.8,18978.7
31.4,19151.454
45,32496.496
85.5,41845.397
30.8,14838.006000000001
35,7712.125
44,36792.035
46,32765.337
25,3208.742
24.3,13613.788
17,4153.927
25,4425.789
35,25447.856
21,10833.806
12.3,2179.179
66.2,49939.710999999996
89,50476.342000000004
22,4460.593
27.5,8187.192
41.1,13234.416000000001
43.1,32087.917999999998
15,2849.67
10,2231.193
27.3,20909.332000000002
23.2,5259.838
24.9,13613.970000000001
76,42384.471
25,7818.807000000001
40.2,15482.865
32.7,8956.421
47.6,24518.736
47.6,24518.736
69.7,28393.207
22,6250.9529999999995
76.4,42286.518
7.9,686.954
42,26440.568
24.6,13152.612000000001
16.1,5363.718
16,3072.0609999999997
48.7,33262.527
35.25,7231.799999999999
23.7,6884.614
21.8,8131.985000000001
52.7,33743.573000000004
17.3,5872.974
20,6798.939
15.5,4251.947
14.5,5431.421
21,7939.6810000000005
76,57373.032999999996
11,1783.397
6.6,1323.9769999999999
10,2073.4900000000002
13,3366.9809999999998
24.5,9317.191
39.3,56263.041
10,2217.339
19,5096.568
27,11161.711
11,2145.922
7.8,1493.8609999999999
28,12159.757000000001
38,24566.114
46,33700.715
51.8,34815.93
45,25032.936999999998
31.2,7856.162
50,54060.814
48.4,53533.346000000005
46.05,51833.707
48.1,52149.582
46,54224.472
47.1,71133.879
43,16453.366
37.5,7324.2880000000005
70.2,47326.786
61.9,31651.104
9,1469.745
82,67672.212
33,19298.987
22.3,7807.761
11.8,2241.859
11.6,2328.716
12.5,2808.901
10.5,2305.797
15,4873.847
64.1,45063.884
49.8,27049.466
50.5,26869.733
19.9,5348.137000000001
19.9,5348.137000000001
71.2,31530.766000000003
64.9,41426.185
50,66582.423
47.1,16422.845
10,1646.723
